"ADMIN0","IU_ID","IUs_NAME","Cov2000","Cov2001","Cov2002","Cov2003","Cov2004","Cov2005","Cov2006","Cov2007","Cov2008","Cov2009","Cov2010","Cov2011","Cov2012","Cov2013","Cov2014","Cov2015","Cov2016","Cov2017","Cov2018","Cov2019","Cov2020","Cov2021","Cov2022","MDA_schemebefore2013","MDA_scheme2013","MDA_scheme2014","MDA_scheme2015","MDA_scheme2016","MDA_scheme2017","MDA_scheme2018","MDA_scheme2019","MDA_scheme2020","MDA_scheme2021","MDA_scheme2022"
"Mauritania","MRT31069","ARAFAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31077","TOUJENINE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Chad","TCD10666","Faya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31073","RIYAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Eritrea","ERI17483","KARORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66103","Eldamar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31086","Mederdra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mali","MLI29980","Gao",0,0,0,0,0,0,0,0,0,93.3733995,91.3094794,90.70912842,0,0,0,54.31,84.33,91.94,0,0,0,0,0,"ALB+IVM","Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31045","Aleg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31066","Tamchekket",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Eritrea","ERI17477","ADOBHA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31064","Aioun Al Atrous",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Eritrea","ERI17439","SELA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31044","Kiffa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31088","R Kiz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Niger","NER35294","Agadez",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31039","Barkéol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31042","Guerou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66049","North Delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Eritrea","ERI17485","NAKFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66102","El matama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66104","Shendi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66047","Hamashkoreeb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31063","Timbedra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31061","Nema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mali","MLI30032","Gourma-Rharous",0,0,0,0,0,0,0,0,0,82.61297678,81.44831245,80.80765819,0,0,84.69,100,100,100,100,0,0,0,0,"ALB+IVM","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31085","Keur Massene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Eritrea","ERI17478","AFABET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
